Period,Altman Z-Score
1980,136.0950563
1981,10.74383307
1982,35.75234042
1983,116.8571598
1984,22.54644941
1985,245.0087252
1986,94.40114622
1987,15.07974399
1988,10.42116623
1989,19.37676797
1990,16.90876725
1991,14.58383073
1992,32.141291
1993,29.74129862
1994,25.86876614
1995,26.48185865
1996,22.42876387
1997,21.06604595
1998,21.12403236
1999,31.83854243
2000,22.12537369
2001,11.67112592
2002,13.10395822
2003,12.13892359
2004,18.14747789
2005,29.79108732
2006,4.862994928
2007,10.3497915
2008,51.99136044
2009,41.66976209
2010,10.76427842
2011,11.80446811
2012,33.80453318
2013,176.3833939
2014,75.96124888
2015,13.94346394
2016,18.29521762
2017,11.00023867
2018,27.15412863
2019,26.55184571
2020,21.91174578
2021,23.85147848
2022,20.7075061
2023,11.63134896
2024,14.17850124
2025,10.17551416
2026,29.6268227
2027,8.187321627
2028,21.99960108
2029,5.874210763
2030,10.11867119
2031,47.26186068
2032,35.88527207
2033,28.0662879
2034,178.4681878
2035,77.56734684
2036,10.4356018
2037,23.08295418
2038,28.63868771
2039,19.02405381
2040,101.7062435
2041,20.87795754
2042,30.10280195
2043,30.12800587
2044,77.55110319
2045,23.44942276
2046,72.9804751
2047,14.66133537
2048,44.76784154
2049,68.75604808
2050,27.79265036
2051,45.87798265
2052,29.88820263
2053,22.06541131
2054,20.87631425
2055,26.12415003
2056,18.08967502
2057,42.31788282
2058,106.0466818
2059,34.45124006
2060,16.33291424
2061,43.68096835
2062,24.26147108
2063,10.71773242
2064,24.34892125
2065,11.22980828
2066,28.3367015
2067,18.21245844
2068,18.41809298
2069,20.06619371
2070,20.76542238
2071,22.36121368
2072,35.33370309
2073,27.24416717
2074,24.84507238
2075,27.66430831
2076,17.78583406
2077,11.5553102
2078,13.1163796
2079,14.21859249
2080,20.18967947
2081,28.45715199
2082,28.1141034
2083,19.81637863
2084,16.30398481
2085,21.07636278
2086,20.36390292
2087,12.02108888
2088,14.2974976
2089,5.523570251
2090,52.79534766
2091,19.16892576
2092,31.65204571
2093,81.90369119
2094,69.06569075
2095,25.39055712
2096,17.89707789
2097,21.40771191
2098,17.42952581
2099,25.71561819
2100,10.66636175
2101,24.84541232
2102,59.64067428
2103,118.1846933
2104,25.23760685
2105,30.76412606
